center_id,item_name,category,quantity,unit,reorder_level,expiry_date
FAC-VVN-04,Antiseptic Solution,Antiseptic,220,bottles,40,2028-07-31
FAC-VVN-04,Cotton Roll 500g,Medical Supplies,200,rolls,40,2029-12-31
FAC-VVN-04,Face Masks,Medical Supplies,3000,pieces,500,2030-12-31
FAC-ZYDUS-06,Normal Saline 0.9% IV 500ml,IV Fluids,600,bottles,100,2027-12-31
FAC-ZYDUS-06,Ringer Lactate 500ml,IV Fluids,500,bags,90,2028-02-28
FAC-ZYDUS-06,Adrenaline Injection,Emergency,180,ampoules,35,2027-06-30
FAC-ZYDUS-06,Tramadol 50mg Injection,Analgesic,300,vials,60,2027-10-31
FAC-ZYDUS-06,Ceftriaxone 1g Injection,Antibiotic,500,vials,90,2027-08-31
FAC-ZYDUS-06,Surgical Gloves,Medical Supplies,5500,pairs,900,2030-12-31
FAC-ZYDUS-06,Suture Kit,Medical Supplies,280,kits,55,2029-06-30
FAC-ZYDUS-06,Blood Bag CPDA 450ml,Medical Supplies,220,bags,40,2027-05-31
FAC-ZYDUS-06,Oxygen Cylinder Refill,Medical Equipment,50,cylinders,12,2032-12-31
FAC-ZYDUS-06,Digital BP Monitor,Medical Equipment,18,pieces,5,2035-12-31
FAC-ZYDUS-06,Nebulizer Kit,Medical Equipment,20,pieces,5,2032-12-31
FAC-ZYDUS-06,IV Cannula 20G,Medical Supplies,700,pieces,120,2030-06-30
